"experiment","scenario","replicate","method","true_year","n_sightings","last_sighting","final_probability","estimated_year","date_error","absolute_date_error","no_threshold_crossing"
"extinction","increasing observation effort",2,"Kodikara",2005,6,2003,0.193123064663782,2011,6,6,FALSE
"extinction","increasing observation effort",2,"Effort_fixed_alpha",2005,6,2003,0.0416317073335046,2010,5,5,FALSE
"extinction","increasing observation effort",3,"Solow",2005,8,2004,0.167775378739336,2013,8,8,FALSE
"extinction","increasing observation effort",3,"Kodikara",2005,8,2004,0.0336035601315929,2009,4,4,FALSE
"extinction","increasing observation effort",3,"Effort_fixed_alpha",2005,8,2004,0.0140810617040632,2010,5,5,FALSE
"extinction","increasing observation effort",4,"Solow",2005,7,2004,0.226984950579949,2014,9,9,FALSE
"extinction","increasing observation effort",4,"Kodikara",2005,7,2004,0.174740673635642,2012,7,7,FALSE
"extinction","increasing observation effort",4,"Effort_fixed_alpha",2005,7,2004,0.0301224729427311,2010,5,5,FALSE
"extinction","increasing observation effort",5,"Solow",2005,7,2002,0.14589193291822,2011,6,6,FALSE
"extinction","increasing observation effort",5,"Kodikara",2005,7,2002,0.111301737738597,2009,4,4,FALSE
"extinction","increasing observation effort",5,"Effort_fixed_alpha",2005,7,2002,0.0111739812658396,2008,3,3,FALSE
"extinction","increasing observation effort",6,"Solow",2005,7,2003,0.183660541017797,2012,7,7,FALSE
"extinction","increasing observation effort",6,"Kodikara",2005,7,2003,0.049762185729985,2009,4,4,FALSE
"extinction","increasing observation effort",6,"Effort_fixed_alpha",2005,7,2003,0.018585148042219,2009,4,4,FALSE
"extinction","increasing observation effort",7,"Solow",2005,7,2004,0.226984950579949,2014,9,9,FALSE
"extinction","increasing observation effort",7,"Kodikara",2005,7,2004,0.187091345876827,2012,7,7,FALSE
"extinction","increasing observation effort",7,"Effort_fixed_alpha",2005,7,2004,0.0301224729427311,2010,5,5,FALSE
"extinction","increasing observation effort",8,"Solow",2005,8,2003,0.129342343189064,2011,6,6,FALSE
"extinction","increasing observation effort",8,"Kodikara",2005,8,2003,0.115868379608967,2010,5,5,FALSE
"extinction","increasing observation effort",8,"Effort_fixed_alpha",2005,8,2003,0.0080061622480817,2009,4,4,FALSE
"extinction","increasing observation effort",9,"Solow",2005,10,2004,0.0839324946710589,2011,6,6,FALSE
"extinction","increasing observation effort",9,"Kodikara",2005,10,2004,0.00562768385348584,2008,3,3,FALSE
"extinction","increasing observation effort",9,"Effort_fixed_alpha",2005,10,2004,0.00286976003348115,2009,4,4,FALSE
"extinction","increasing observation effort",10,"Solow",2005,5,2003,0.329270900440851,2015,10,10,FALSE
"extinction","increasing observation effort",10,"Kodikara",2005,5,2003,0.225836723141043,2012,7,7,FALSE
"extinction","increasing observation effort",10,"Effort_fixed_alpha",2005,5,2003,0.0882156524116602,2011,6,6,FALSE
"extinction","increasing observation effort",11,"Solow",2005,5,2003,0.329270900440851,2015,10,10,FALSE
